video_id,title,views,likes,comments,publish_date
USFNANef1i0,Cheap Gaming Gadget you must try! 😃#shorts,3166125,169565,1085,2023-07-24T08:08:00Z
0gixZw-7p7U,Firing on Apple Macbook vs windows 😎 PART 2 #shorts,6807285,394902,3533,2023-07-12T14:05:00Z
0nm5QxrBfb0,2 Most useful Spy Gadgets😎 #shorts  #youtubeshorts,9410290,662970,442,2023-06-22T09:20:00Z
0VUjckIqkcg,The Most Useless water Flavour Gadget #shorts  #gadgets,1948302,179246,144,2023-06-06T07:55:00Z
fR7vSW9nslY,ये है सबसे खतरनाक Daily Use gadgets...😱#shorts,1865247,189679,207,2023-06-03T14:00:25Z
AbrAKw4pm9E,Dost को बताई New Laptop लेने की Trick 🤣😂 #shorts  #techmaster,4123643,362715,576,2023-05-09T08:10:00Z
E0H6ojmnMHo,"5 illegal Gadgets, चलाने वाले जरूर जाने 🤯🤯 #shorts  #techmaster",7409222,556691,1679,2023-03-24T12:19:00Z
1az8q3XOiqo,iphone Battery Health : 90% लोग नहीं जानते 😳😳 #shorts  #phone  #techmaster,4302008,376194,872,2023-03-12T13:00:01Z
h4ayMqKRddM,चलिए Apple के Airpods Pro को तोड़ते है 😱😱 #shorts  #techmaster,3894379,327555,1562,2023-03-02T07:37:00Z
AKzp-VMoE6s,Dost की Birthday पार्टी ₹299 के Speaker से 🤣😂 #shorts  #techmaster,3055735,145370,497,2023-02-17T07:00:03Z
TA-WTaM43sU,Top 5 Features of Moto e13 *Sasta Smartphone* #shorts  #techmaster  #moto,877731,93493,405,2023-02-08T06:38:00Z
tvDRL9JDcc4,Hidden iphone Tricks : 90% लोग नहीं जानते 😳😳 #shorts  #phone  #techmaster,4674704,449939,800,2022-12-17T09:00:32Z
ryGQO8YVVsI,ये हैं सबसे सस्ते Cool gadgets...#shorts,35129204,1676564,1081,2022-12-02T07:15:02Z
e3Lrz_CCTWk,Apple की खुल गई पोल..Exposed #shorts,16875919,1611261,2950,2022-11-26T12:30:23Z
kmnDwIEq0cQ,Dosto के साथ watch Ultra का popat बना दिया 🤣😂 #shorts  #techmaster,18991083,1074745,1800,2022-11-22T13:35:00Z
O2CgVIkK_wc,Apple pencil vs Apsara pencil क्या होगा ? #shorts  #techmaster,64510668,2219897,2506,2022-11-21T14:45:01Z
ioy493lsY_Y,Apple AirTag will work? 90% लोग नहीं जानते 😳😳 #shorts  #tracking  #mastershorts,4717640,464796,207,2022-10-10T13:21:41Z
zaLIUgaWSbs,"500 का Keyboard VS 5,500 का Keyboard.... #shorts #mechnicalkeyboard",19697195,1579755,1108,2022-09-28T12:08:20Z
T1xkDYh1l4I,Phone में लगाएं time password कोई नहीं खोल पाएगा lock....#shorts,7624514,593195,623,2022-09-01T12:30:08Z
